lat,lon,growth_rate
-89.5,-179.5,2.0861568367823797
-89.5,-178.5,2.077844573423363
-89.5,-177.5,2.0861517793048847
-89.5,-176.5,2.086224677650023
-89.5,-175.5,2.0862505521345724
-89.5,-174.5,2.0862598594503083
-89.5,-173.5,2.086210151449336
-89.5,-172.5,2.07796094844781
-89.5,-171.5,2.077984088845369
-89.5,-170.5,2.086351122928704
-89.5,-169.5,2.078034988379613
-89.5,-168.5,2.0863812891824978
-89.5,-167.5,2.0780708742041725
-89.5,-166.5,2.078095043061637
-89.5,-165.5,2.086430982451702
-89.5,-164.5,2.0863960141012967
-89.5,-163.5,2.078158257346331
-89.5,-162.5,2.0781763374928914
-89.5,-161.5,2.086435930927223
-89.5,-160.5,2.078222209556202
-89.5,-159.5,2.078237139084763
-89.5,-158.5,2.0782620097962763
-89.5,-157.5,2.086515514888561
-89.5,-156.5,2.0865814670523264
-89.5,-155.5,2.0865984329663547
-89.5,-154.5,2.078347873745372
-89.5,-153.5,2.086621590667676
-89.5,-152.5,2.086614565527668
-89.5,-151.5,2.0866335677464463
-89.5,-150.5,2.0866478669916546
-89.5,-149.5,2.086680003144579
-89.5,-148.5,2.0866842618987107
-89.5,-147.5,2.078482825812671
-89.5,-146.5,2.086746543745221
-89.5,-145.5,2.0867187702936576
-89.5,-144.5,2.086731906894556
-89.5,-143.5,2.088289861417252
-89.5,-142.5,2.080319726540722
-89.5,-141.5,2.0883842532362
-89.5,-140.5,2.0803540093165225
-89.5,-139.5,2.088358136329475
-89.5,-138.5,2.088423756399891
-89.5,-137.5,2.088382128729222
-89.5,-136.5,2.0804111028053285
-89.5,-135.5,2.080426036720212
-89.5,-134.5,2.08843943574999
-89.5,-133.5,2.080455494667433
-89.5,-132.5,2.088491125978805
-89.5,-131.5,2.088496734737191
-89.5,-130.5,2.0885384301560634
-89.5,-129.5,2.0884865663983305
-89.5,-128.5,2.0885653917010814
-89.5,-127.5,2.088523532036561
-89.5,-126.5,2.0885166178475174
-89.5,-125.5,2.08055896990129
-89.5,-124.5,2.0805779812779406
-89.5,-123.5,2.080592342877424
-89.5,-122.5,2.0886216042879937
-89.5,-121.5,2.088573771672145
-89.5,-120.5,2.080622746654228
-89.5,-119.5,2.088598542057923
-89.5,-118.5,2.080641930272748
-89.5,-117.5,2.088643868459769
-89.5,-116.5,2.08066343813789
-89.5,-115.5,2.088673048984333
-89.5,-114.5,2.088739378667242
-89.5,-113.5,2.088674161820336
-89.5,-112.5,2.088707885000815
-89.5,-111.5,2.088782435576775
-89.5,-110.5,2.0887704216219163
-89.5,-109.5,2.06804067784509
-89.5,-108.5,2.080747394424236
-89.5,-107.5,2.0807498639023265
-89.5,-106.5,2.080757228908737
-89.5,-105.5,2.0888156310679733
-89.5,-104.5,2.08077242876999
-89.5,-103.5,2.088813103122277
-89.5,-102.5,2.080788393785724
-89.5,-101.5,2.088855193274753
-89.5,-100.5,2.0808007081841424
-89.5,-99.5,2.088900246437845
-89.5,-98.5,2.0888898979430337
-89.5,-97.5,2.088857285853294
-89.5,-96.5,2.080825401461823
-89.5,-95.5,2.0889284970178323
-89.5,-94.5,2.08083205697784
-89.5,-93.5,2.0889484116245853
-89.5,-92.5,2.080840504232299
-89.5,-91.5,2.088886577594621
-89.5,-90.5,2.0808448984719803
-89.5,-89.5,2.0889780810812795
-89.5,-88.5,2.0889876927423643
-89.5,-87.5,2.080852504376708
-89.5,-86.5,2.0889401836757315
-89.5,-85.5,2.0889209573018093
-89.5,-84.5,2.088967203471896
-89.5,-83.5,2.0808598171888093
-89.5,-82.5,2.088943107269188
-89.5,-81.5,2.0889901897111827
-89.5,-80.5,2.0889576952079665
-89.5,-79.5,2.080860766041326
-89.5,-78.5,2.088980429017852
-89.5,-77.5,2.089045567618939
-89.5,-76.5,2.089047499486014
-89.5,-75.5,2.089056485021615
-89.5,-74.5,2.08085931072128
-89.5,-73.5,2.0889996613201447
-89.5,-72.5,2.0889997599750814
-89.5,-71.5,2.0892234360136968
-89.5,-70.5,2.081172625403326
-89.5,-69.5,2.0892696268766144
-89.5,-68.5,2.081182339125178
-89.5,-67.5,2.0892590265683
-89.5,-66.5,2.081191276791344
-89.5,-65.5,2.0893057171329588
-89.5,-64.5,2.089297860857528
-89.5,-63.5,2.089306012747784
-89.5,-62.5,2.081209490031995
-89.5,-61.5,2.089297701225973
-89.5,-60.5,2.0812131809358334
-89.5,-59.5,2.089323562398988
-89.5,-58.5,2.089373194944983
-89.5,-57.5,2.089330836390048
-89.5,-56.5,2.089373345927015
-89.5,-55.5,2.089310920435309
-89.5,-54.5,2.0812174394407066
-89.5,-53.5,2.081219886721442
-89.5,-52.5,2.0893236007949554
-89.5,-51.5,2.089406223281344
-89.5,-50.5,2.089360616209774
-89.5,-49.5,2.089423587023361
-89.5,-48.5,2.08934813333434
-89.5,-47.5,2.081218978245772
-89.5,-46.5,2.089360210043253
-89.5,-45.5,2.081219570158453
-89.5,-44.5,2.0812153677582046
-89.5,-43.5,2.0812090050310417
-89.5,-42.5,2.081206784412529
-89.5,-41.5,2.089409392203038
-89.5,-40.5,2.0812037328576025
-89.5,-39.5,2.081197952667708
-89.5,-38.5,2.081195993785002
-89.5,-37.5,2.0894770678251007
-89.5,-36.5,2.089467178888356
-89.5,-35.5,2.0893937524318744
-89.5,-34.5,2.081182995263589
-89.5,-33.5,2.089394142272454
-89.5,-32.5,2.089406872570237
-89.5,-31.5,2.089426576972187
-89.5,-30.5,2.0894657738145384
-89.5,-29.5,2.089482126314465
-89.5,-28.5,2.0894124689729665
-89.5,-27.5,2.0894207362798056
-89.5,-26.5,2.0894653216598726
-89.5,-25.5,2.0811222187550698
-89.5,-24.5,2.089462092227336
-89.5,-23.5,2.089469661976807
-89.5,-22.5,2.089437701179349
-89.5,-21.5,2.0810994333929216
-89.5,-20.5,2.081093747641944
-89.5,-19.5,2.0810824240311945
-89.5,-18.5,2.081070859079148
-89.5,-17.5,2.0893911555033924
-89.5,-16.5,2.089399086840217
-89.5,-15.5,2.089479951797955
-89.5,-14.5,2.081036948049075
-89.5,-13.5,2.089378184250222
-89.5,-12.5,2.089419239758911
-89.5,-11.5,2.0810043317418376
-89.5,-10.5,2.0893774991234864
-89.5,-9.5,2.089409712792474
-89.5,-8.5,2.080980325584278
-89.5,-7.5,2.0809603856325225
-89.5,-6.5,2.089416817691585
-89.5,-5.5,2.089398107802765
-89.5,-4.5,2.0809314824165317
