lat,lon,growth_err
-89.5,-179.5,0.0491163560333601
-89.5,-178.5,0.0663897216967358
-89.5,-177.5,0.0491563730224101
-89.5,-176.5,0.0490978315184417
-89.5,-175.5,0.0491123126595308
-89.5,-174.5,0.0490778158903498
-89.5,-173.5,0.0491613772549521
-89.5,-172.5,0.0663905098463695
-89.5,-171.5,0.0663931198969241
-89.5,-170.5,0.0490730373382788
-89.5,-169.5,0.0663655828461544
-89.5,-168.5,0.0490792797870981
-89.5,-167.5,0.0663365206134732
-89.5,-166.5,0.0663153842560323
-89.5,-165.5,0.0490776875526734
-89.5,-164.5,0.0491468917528497
-89.5,-163.5,0.0663166602395802
-89.5,-162.5,0.0663116548205558
-89.5,-161.5,0.0491334772957794
-89.5,-160.5,0.0662895502054973
-89.5,-159.5,0.0662812784928894
-89.5,-158.5,0.066278091819293
-89.5,-157.5,0.0491571897586061
-89.5,-156.5,0.0490835121701778
-89.5,-155.5,0.0490820216871465
-89.5,-154.5,0.0662275299399317
-89.5,-153.5,0.0490904288259892
-89.5,-152.5,0.0490917072449388
-89.5,-151.5,0.0490868522000765
-89.5,-150.5,0.0490865329945627
-89.5,-149.5,0.0491054246415664
-89.5,-148.5,0.0490912234019511
-89.5,-147.5,0.066176854291974
-89.5,-146.5,0.049092637003316
-89.5,-145.5,0.0491127279563409
-89.5,-144.5,0.0491315078561734
-89.5,-143.5,0.0493638133290487
-89.5,-142.5,0.0669055626536827
-89.5,-141.5,0.049280027131916
-89.5,-140.5,0.0669089276543268
-89.5,-139.5,0.0493512216543236
-89.5,-138.5,0.0492844462777749
-89.5,-137.5,0.0493694711839718
-89.5,-136.5,0.0669303259542877
-89.5,-135.5,0.066937575254112
-89.5,-134.5,0.04931144483644
-89.5,-133.5,0.0669688838738074
-89.5,-132.5,0.0493055570000652
-89.5,-131.5,0.0492836702050398
-89.5,-130.5,0.0492831400766917
-89.5,-129.5,0.0493642445226599
-89.5,-128.5,0.0492788678495327
-89.5,-127.5,0.0493229461375406
-89.5,-126.5,0.049362011492304
-89.5,-125.5,0.0670111227275544
-89.5,-124.5,0.0670334611650187
-89.5,-123.5,0.0670347377695448
-89.5,-122.5,0.0492790749597266
-89.5,-121.5,0.049361800861513
-89.5,-120.5,0.0670656513324788
-89.5,-119.5,0.0493656984355677
-89.5,-118.5,0.067079098939611
-89.5,-117.5,0.049344051717013
-89.5,-116.5,0.0671005026264397
-89.5,-115.5,0.0493599018155466
-89.5,-114.5,0.0492818952847573
-89.5,-113.5,0.0493637007321105
-89.5,-112.5,0.0493613605730726
-89.5,-111.5,0.0492822546243417
-89.5,-110.5,0.0493016772012642
-89.5,-109.5,0.0479060386201639
-89.5,-108.5,0.0671546773380668
-89.5,-107.5,0.0671687711794861
-89.5,-106.5,0.0671835894125155
-89.5,-105.5,0.049276310967723
-89.5,-104.5,0.0671928667413162
-89.5,-103.5,0.0493172040335671
-89.5,-102.5,0.0672185988482348
-89.5,-101.5,0.0492953707181097
-89.5,-100.5,0.0672396577660863
-89.5,-99.5,0.0492754569901128
-89.5,-98.5,0.049276378020893
-89.5,-97.5,0.0493592307225281
-89.5,-96.5,0.0672452344523991
-89.5,-95.5,0.0492745446743588
-89.5,-94.5,0.0672826271417558
-89.5,-93.5,0.0492880547153695
-89.5,-92.5,0.067309698754074
-89.5,-91.5,0.04935832082616
-89.5,-90.5,0.0673261932321093
-89.5,-89.5,0.0492761513444251
-89.5,-88.5,0.049273487140827
-89.5,-87.5,0.0673680936441595
-89.5,-86.5,0.0493604351709794
-89.5,-85.5,0.0493685463650693
-89.5,-84.5,0.0493424932300469
-89.5,-83.5,0.0673942847074591
-89.5,-82.5,0.0493564102578499
-89.5,-81.5,0.0493122865179536
-89.5,-80.5,0.049346132495649
-89.5,-79.5,0.067412759723975
-89.5,-78.5,0.0493626586288269
-89.5,-77.5,0.049272406609295
-89.5,-76.5,0.0492782724718537
-89.5,-75.5,0.0492723848304853
-89.5,-74.5,0.0674783156140515
-89.5,-73.5,0.0493650270741143
-89.5,-72.5,0.049365524461147
-89.5,-71.5,0.0493109279097891
-89.5,-70.5,0.0678451484902162
-89.5,-69.5,0.0492994701534119
-89.5,-68.5,0.0678919525731058
-89.5,-67.5,0.0493458765632008
-89.5,-66.5,0.0679579535010958
-89.5,-65.5,0.0492939067172037
-89.5,-64.5,0.0492840592344189
-89.5,-63.5,0.0492927911171359
-89.5,-62.5,0.0679561509177943
-89.5,-61.5,0.0493153124145555
-89.5,-60.5,0.0680259534397785
-89.5,-59.5,0.0493071097491179
-89.5,-58.5,0.0492906606789521
-89.5,-57.5,0.0493545294965178
-89.5,-56.5,0.0492992644282379
-89.5,-55.5,0.0493707708223372
-89.5,-54.5,0.0681721299141378
-89.5,-53.5,0.0681771874786348
-89.5,-52.5,0.0493764733529554
-89.5,-51.5,0.049295181582908
-89.5,-50.5,0.0493707259775175
-89.5,-49.5,0.0492857429754251
-89.5,-48.5,0.0493703568136169
-89.5,-47.5,0.0682877573224044
-89.5,-46.5,0.0493676899274398
-89.5,-45.5,0.0682902670063085
-89.5,-44.5,0.0683445846646059
-89.5,-43.5,0.0683687750765939
-89.5,-42.5,0.0683661510739485
-89.5,-41.5,0.0493670764112444
-89.5,-40.5,0.0684201452935202
-89.5,-39.5,0.0684434766351326
-89.5,-38.5,0.0684706196643398
-89.5,-37.5,0.0492809153866195
-89.5,-36.5,0.0492955324547655
-89.5,-35.5,0.0493704995349042
-89.5,-34.5,0.0685400026221602
-89.5,-33.5,0.0493707627549778
-89.5,-32.5,0.0493695330106212
-89.5,-31.5,0.0493779524345181
-89.5,-30.5,0.0492790812891247
-89.5,-29.5,0.0492867061524262
-89.5,-28.5,0.0493723729438886
-89.5,-27.5,0.049363185825864
-89.5,-26.5,0.0492830993025305
-89.5,-25.5,0.0686920200175698
-89.5,-24.5,0.0492986620218563
-89.5,-23.5,0.0492876705974825
-89.5,-22.5,0.0493596485955892
-89.5,-21.5,0.0687367494859612
-89.5,-20.5,0.0687690066280149
-89.5,-19.5,0.0687746021460809
-89.5,-18.5,0.0688241979224539
-89.5,-17.5,0.0493819508383664
-89.5,-16.5,0.0493771505755805
-89.5,-15.5,0.0492929228389191
-89.5,-14.5,0.0688418634880083
-89.5,-13.5,0.0493841062158741
-89.5,-12.5,0.0493735043415597
-89.5,-11.5,0.0689199228060242
-89.5,-10.5,0.0493889633905164
-89.5,-9.5,0.0493207001080432
-89.5,-8.5,0.0689442429633721
-89.5,-7.5,0.0689679351050623
-89.5,-6.5,0.0493032279890029
-89.5,-5.5,0.0493298747928689
-89.5,-4.5,0.0689695272433822
-89.5,-3.5,0.0689700602641454
-89.5,-2.5,0.0493287063665586
-89.5,-1.5,0.0493264129573558
-89.5,-0.5,0.0493995528356807
-89.5,0.5,0.0686380615298366
-89.5,1.5,0.0492077731460621
-89.5,2.5,0.0492218715780892
-89.5,3.5,0.0687160056638355
-89.5,4.5,0.0687536094595057
-89.5,5.5,0.0492320644634409
-89.5,6.5,0.0493067356588935
-89.5,7.5,0.049307746930892
-89.5,8.5,0.0492852262985081
-89.5,9.5,0.0493023236593892
-89.5,10.5,0.0688937506624189
-89.5,11.5,0.0492294302606063
-89.5,12.5,0.0493093462535827
-89.5,13.5,0.049233595725211
-89.5,14.5,0.0493122287375393
-89.5,15.5,0.0492297699265588
-89.5,16.5,0.0689865872135517
-89.5,17.5,0.0492282288555376
-89.5,18.5,0.0492254942027927
-89.5,19.5,0.0492602301656245
-89.5,20.5,0.0492323563579431
-89.5,21.5,0.04930546593004
-89.5,22.5,0.0690772861943474
-89.5,23.5,0.0691041809655654
-89.5,24.5,0.0492248791308081
-89.5,25.5,0.0493215499992076
-89.5,26.5,0.0493186536016804
-89.5,27.5,0.0493278575546107
-89.5,28.5,0.0493231788354199
