lat,lon,cams_xco2
-89.5,-179.5,403.55472
-89.5,-178.5,403.55472
-89.5,-177.5,403.55472
-89.5,-176.5,403.55472
-89.5,-175.5,403.55472
-89.5,-174.5,403.55466
-89.5,-173.5,403.55472
-89.5,-172.5,403.55472
-89.5,-171.5,403.55466
-89.5,-170.5,403.55463
-89.5,-169.5,403.55463
-89.5,-168.5,403.55463
-89.5,-167.5,403.55463
-89.5,-166.5,403.55463
-89.5,-165.5,403.55463
-89.5,-164.5,403.55457
-89.5,-163.5,403.55457
-89.5,-162.5,403.55463
-89.5,-161.5,403.55463
-89.5,-160.5,403.55457
-89.5,-159.5,403.55457
-89.5,-158.5,403.55457
-89.5,-157.5,403.55463
-89.5,-156.5,403.55457
-89.5,-155.5,403.55457
-89.5,-154.5,403.55457
-89.5,-153.5,403.55453
-89.5,-152.5,403.55457
-89.5,-151.5,403.55457
-89.5,-150.5,403.55453
-89.5,-149.5,403.55453
-89.5,-148.5,403.55453
-89.5,-147.5,403.55457
-89.5,-146.5,403.55453
-89.5,-145.5,403.55457
-89.5,-144.5,403.55453
-89.5,-143.5,403.5866
-89.5,-142.5,403.5866
-89.5,-141.5,403.5866
-89.5,-140.5,403.5866
-89.5,-139.5,403.5866
-89.5,-138.5,403.58655
-89.5,-137.5,403.58655
-89.5,-136.5,403.58655
-89.5,-135.5,403.58652
-89.5,-134.5,403.58652
-89.5,-133.5,403.58652
-89.5,-132.5,403.58652
-89.5,-131.5,403.5865
-89.5,-130.5,403.58652
-89.5,-129.5,403.58652
-89.5,-128.5,403.58652
-89.5,-127.5,403.58643
-89.5,-126.5,403.5865
-89.5,-125.5,403.58643
-89.5,-124.5,403.58643
-89.5,-123.5,403.58643
-89.5,-122.5,403.58643
-89.5,-121.5,403.5865
-89.5,-120.5,403.5865
-89.5,-119.5,403.5865
-89.5,-118.5,403.5865
-89.5,-117.5,403.58643
-89.5,-116.5,403.58643
-89.5,-115.5,403.58643
-89.5,-114.5,403.58643
-89.5,-113.5,403.5864
-89.5,-112.5,403.5864
-89.5,-111.5,403.5864
-89.5,-110.5,403.5864
-89.5,-109.5,403.5864
-89.5,-108.5,403.5864
-89.5,-107.5,403.5864
-89.5,-106.5,403.5864
-89.5,-105.5,403.58633
-89.5,-104.5,403.5864
-89.5,-103.5,403.5864
-89.5,-102.5,403.5864
-89.5,-101.5,403.5864
-89.5,-100.5,403.5864
-89.5,-99.5,403.58633
-89.5,-98.5,403.58633
-89.5,-97.5,403.58633
-89.5,-96.5,403.5864
-89.5,-95.5,403.58633
-89.5,-94.5,403.58633
