lat,lon,cams_xco2
-89.5,-29.5,412.96365
-89.5,-28.5,412.96365
-89.5,-27.5,412.96365
-89.5,-26.5,412.96375
-89.5,-25.5,412.96375
-89.5,-24.5,412.96375
-89.5,-23.5,412.96378
-89.5,-22.5,412.96378
-89.5,-21.5,412.96384
-89.5,-20.5,412.96384
-89.5,-19.5,412.96387
-89.5,-18.5,412.96387
-89.5,-17.5,412.96387
-89.5,-16.5,412.96387
-89.5,-15.5,412.96387
-89.5,-14.5,412.9639
-89.5,-13.5,412.96396
-89.5,-12.5,412.96396
-89.5,-11.5,412.96396
-89.5,-10.5,412.96396
-89.5,-9.5,412.96396
-89.5,-8.5,412.96405
-89.5,-7.5,412.964
-89.5,-6.5,412.96405
-89.5,-5.5,412.96405
-89.5,-4.5,412.96405
-89.5,-3.5,412.96405
-89.5,-2.5,412.96405
-89.5,-1.5,412.964
-89.5,-0.5,412.96405
-89.5,0.5,412.9373
-89.5,1.5,412.93726
-89.5,2.5,412.93726
-89.5,3.5,412.93726
-89.5,4.5,412.93726
-89.5,5.5,412.9373
-89.5,6.5,412.9372
-89.5,7.5,412.9372
-89.5,8.5,412.9372
-89.5,9.5,412.9372
-89.5,10.5,412.93726
-89.5,11.5,412.9372
-89.5,12.5,412.9372
-89.5,13.5,412.9372
-89.5,14.5,412.9372
-89.5,15.5,412.93716
-89.5,16.5,412.9372
-89.5,17.5,412.93716
-89.5,18.5,412.93716
-89.5,19.5,412.93716
-89.5,20.5,412.93707
-89.5,21.5,412.93707
-89.5,22.5,412.93707
-89.5,23.5,412.93707
-89.5,24.5,412.93707
-89.5,25.5,412.93704
-89.5,26.5,412.93698
-89.5,27.5,412.93704
-89.5,28.5,412.93704
-89.5,29.5,412.93698
-89.5,30.5,412.93698
-89.5,31.5,412.93695
-89.5,32.5,412.93698
-89.5,33.5,412.9369
-89.5,34.5,412.9369
-89.5,35.5,412.9369
-89.5,36.5,412.93683
-89.5,37.5,412.93686
-89.5,38.5,412.93686
-89.5,39.5,412.93683
-89.5,40.5,412.93677
-89.5,41.5,412.93677
-89.5,42.5,412.93677
-89.5,43.5,412.93674
-89.5,44.5,412.93668
-89.5,45.5,412.93668
-89.5,46.5,412.93668
-89.5,47.5,412.93665
-89.5,48.5,412.9366
-89.5,49.5,412.9366
-89.5,50.5,412.9366
-89.5,51.5,412.9366
-89.5,52.5,412.93655
-89.5,53.5,412.93655
-89.5,54.5,412.93652
-89.5,55.5,412.93652
-89.5,56.5,412.93646
-89.5,57.5,412.9364
-89.5,58.5,412.9364
-89.5,59.5,412.93634
-89.5,60.5,412.93634
-89.5,61.5,412.9363
-89.5,62.5,412.9363
-89.5,63.5,412.93625
-89.5,64.5,412.93625
-89.5,65.5,412.93622
-89.5,66.5,412.93622
-89.5,67.5,412.9362
-89.5,68.5,412.93613
-89.5,69.5,412.93613
-89.5,70.5,412.93613
-89.5,71.5,412.9361
-89.5,72.5,412.9107
-89.5,73.5,412.9106
-89.5,74.5,412.91058
-89.5,75.5,412.9105
-89.5,76.5,412.91043
-89.5,77.5,412.91037
-89.5,78.5,412.91028
-89.5,79.5,412.91028
-89.5,80.5,412.9102
-89.5,81.5,412.9102
-89.5,82.5,412.9101
-89.5,83.5,412.91
-89.5,84.5,412.90997
-89.5,85.5,412.90988
-89.5,86.5,412.90985
-89.5,87.5,412.90976
-89.5,88.5,412.90973
-89.5,89.5,412.90964
-89.5,90.5,412.90958
-89.5,91.5,412.90955
-89.5,92.5,412.90952
-89.5,93.5,412.90945
-89.5,94.5,412.90936
-89.5,95.5,412.9093
-89.5,96.5,412.9093
-89.5,97.5,412.9092
-89.5,98.5,412.9092
-89.5,99.5,412.90912
-89.5,100.5,412.90903
-89.5,101.5,412.90903
-89.5,102.5,412.90894
-89.5,103.5,412.9089
-89.5,104.5,412.90887
-89.5,105.5,412.9088
-89.5,106.5,412.90878
-89.5,107.5,412.9087
-89.5,108.5,412.9087
-89.5,109.5,412.9086
-89.5,110.5,412.9086
-89.5,111.5,412.90857
-89.5,112.5,412.9085
-89.5,113.5,412.90845
-89.5,114.5,412.90845
-89.5,115.5,412.90836
-89.5,116.5,412.90836
-89.5,117.5,412.90826
-89.5,118.5,412.90826
-89.5,119.5,412.90823
-89.5,120.5,412.90817
-89.5,121.5,412.90808
-89.5,122.5,412.90808
