lat,lon,cams_xco2
-89.5,6.5,415.0283
-89.5,7.5,415.0283
-89.5,8.5,415.0283
-89.5,9.5,415.0283
-89.5,10.5,415.0283
-89.5,11.5,415.0283
-89.5,12.5,415.0283
-89.5,13.5,415.0283
-89.5,14.5,415.0283
-89.5,15.5,415.0283
-89.5,16.5,415.0283
-89.5,17.5,415.0283
-89.5,18.5,415.0283
-89.5,19.5,415.0283
-89.5,20.5,415.0283
-89.5,21.5,415.0283
-89.5,22.5,415.0283
-89.5,23.5,415.02826
-89.5,24.5,415.02826
-89.5,25.5,415.02826
-89.5,26.5,415.02826
-89.5,27.5,415.02826
-89.5,28.5,415.02826
-89.5,29.5,415.02817
-89.5,30.5,415.02817
-89.5,31.5,415.02814
-89.5,32.5,415.02814
-89.5,33.5,415.02814
-89.5,34.5,415.02814
-89.5,35.5,415.02814
-89.5,36.5,415.02814
-89.5,37.5,415.02805
-89.5,38.5,415.02805
-89.5,39.5,415.02798
-89.5,40.5,415.02798
-89.5,41.5,415.02795
-89.5,42.5,415.02798
-89.5,43.5,415.02792
-89.5,44.5,415.02792
-89.5,45.5,415.02792
-89.5,46.5,415.02783
-89.5,47.5,415.02783
-89.5,48.5,415.02783
-89.5,49.5,415.02783
-89.5,50.5,415.02777
-89.5,51.5,415.02774
-89.5,52.5,415.02774
-89.5,53.5,415.0277
-89.5,54.5,415.02765
-89.5,55.5,415.02765
-89.5,56.5,415.02762
-89.5,57.5,415.02762
-89.5,58.5,415.02756
-89.5,59.5,415.0275
-89.5,60.5,415.0275
-89.5,61.5,415.0275
-89.5,62.5,415.02744
-89.5,63.5,415.0274
-89.5,64.5,415.0273
-89.5,65.5,415.02728
-89.5,66.5,415.02728
-89.5,67.5,415.02722
-89.5,68.5,415.0272
-89.5,69.5,415.0272
-89.5,70.5,415.02713
-89.5,71.5,415.0271
-89.5,72.5,415.00055
-89.5,73.5,415.00043
-89.5,74.5,415.0004
-89.5,75.5,415.0003
-89.5,76.5,415.0002
-89.5,77.5,415.00018
-89.5,78.5,415.00012
-89.5,79.5,414.99997
-89.5,80.5,414.9999
-89.5,81.5,414.99988
-89.5,82.5,414.9998
-89.5,83.5,414.9997
-89.5,84.5,414.9997
-89.5,85.5,414.99957
-89.5,86.5,414.99948
-89.5,87.5,414.9994
-89.5,88.5,414.99936
-89.5,89.5,414.99927
-89.5,90.5,414.99924
-89.5,91.5,414.99915
-89.5,92.5,414.99905
-89.5,93.5,414.99896
-89.5,94.5,414.9989
-89.5,95.5,414.99884
-89.5,96.5,414.99875
-89.5,97.5,414.99872
-89.5,98.5,414.99863
-89.5,99.5,414.99854
-89.5,100.5,414.9985
-89.5,101.5,414.99847
-89.5,102.5,414.99838
-89.5,103.5,414.9983
-89.5,104.5,414.99823
-89.5,105.5,414.9982
-89.5,106.5,414.9981
-89.5,107.5,414.99802
-89.5,108.5,414.99796
-89.5,109.5,414.9979
-89.5,110.5,414.9978
-89.5,111.5,414.99774
-89.5,112.5,414.99774
-89.5,113.5,414.99768
-89.5,114.5,414.99765
-89.5,115.5,414.99753
-89.5,116.5,414.99747
-89.5,117.5,414.99734
-89.5,118.5,414.99734
-89.5,119.5,414.9973
-89.5,120.5,414.99725
-89.5,121.5,414.99716
-89.5,122.5,414.99716
-89.5,123.5,414.9971
-89.5,124.5,414.997
-89.5,125.5,414.99695
-89.5,126.5,414.99692
-89.5,127.5,414.9969
-89.5,128.5,414.9968
-89.5,129.5,414.9968
-89.5,130.5,414.9967
-89.5,131.5,414.9967
-89.5,132.5,414.9966
-89.5,133.5,414.99658
-89.5,134.5,414.99652
-89.5,135.5,414.9965
-89.5,136.5,414.99646
-89.5,137.5,414.9964
-89.5,138.5,414.9964
-89.5,139.5,414.9963
-89.5,140.5,414.9963
-89.5,141.5,414.99628
-89.5,142.5,414.99625
-89.5,143.5,414.99625
-89.5,144.5,414.99692
-89.5,145.5,414.99692
-89.5,146.5,414.9969
-89.5,147.5,414.99683
-89.5,148.5,414.99683
-89.5,149.5,414.9968
-89.5,150.5,414.99673
-89.5,151.5,414.99673
-89.5,152.5,414.99673
-89.5,153.5,414.9967
-89.5,154.5,414.99667
-89.5,155.5,414.99667
-89.5,156.5,414.99667
-89.5,157.5,414.99667
-89.5,158.5,414.9966
-89.5,159.5,414.9966
-89.5,160.5,414.99658
-89.5,161.5,414.99658
-89.5,162.5,414.99658
-89.5,163.5,414.99658
-89.5,164.5,414.99658
-89.5,165.5,414.99658
-89.5,166.5,414.99658
-89.5,167.5,414.99652
-89.5,168.5,414.99652
-89.5,169.5,414.99652
-89.5,170.5,414.99652
-89.5,171.5,414.99652
-89.5,172.5,414.9965
-89.5,173.5,414.99652
-89.5,174.5,414.99658
-89.5,175.5,414.99658
-89.5,176.5,414.99652
-89.5,177.5,414.99658
-89.5,178.5,414.99658
-89.5,179.5,414.99658
-88.5,-179.5,414.96335
-88.5,-178.5,414.9634
-88.5,-177.5,414.96347
-88.5,-176.5,414.96362
-88.5,-175.5,414.96368
-88.5,-174.5,414.96378
-88.5,-173.5,414.9639
-88.5,-172.5,414.964
-88.5,-171.5,414.96414
-88.5,-170.5,414.9643
-88.5,-169.5,414.9644
-88.5,-168.5,414.9645
-88.5,-167.5,414.9646
-88.5,-166.5,414.96472
-88.5,-165.5,414.9649
-88.5,-164.5,414.96503
-88.5,-163.5,414.98578
-88.5,-162.5,414.98587
-88.5,-161.5,414.98605
-88.5,-160.5,414.98618
-88.5,-159.5,414.9863
-88.5,-158.5,414.98642
-88.5,-157.5,414.9865
-88.5,-156.5,414.98672
-88.5,-155.5,414.9869
-88.5,-154.5,414.98703
-88.5,-153.5,414.99393
-88.5,-152.5,414.99405
-88.5,-151.5,414.99414
-88.5,-150.5,414.99426
-88.5,-149.5,414.99445
-88.5,-148.5,414.99457
-88.5,-147.5,414.9947
-88.5,-146.5,414.99487
-88.5,-145.5,414.99493
-88.5,-144.5,414.99512
-88.5,-143.5,414.99524
-88.5,-142.5,414.9954
-88.5,-141.5,414.99554
-88.5,-140.5,414.99567
-88.5,-139.5,414.99582
-88.5,-138.5,414.99597
-88.5,-137.5,414.99606
-88.5,-136.5,414.99628
-88.5,-135.5,414.9964
-88.5,-134.5,414.99658
-88.5,-133.5,415.0133
-88.5,-132.5,415.01352
-88.5,-131.5,415.01373
-88.5,-130.5,415.01392
-88.5,-129.5,415.01413
-88.5,-128.5,415.0143
-88.5,-127.5,415.01453
-88.5,-126.5,415.01468
-88.5,-125.5,415.0149
-88.5,-124.5,415.01508
-88.5,-123.5,415.04382
-88.5,-122.5,415.0439
-88.5,-121.5,415.04404
-88.5,-120.5,415.04422
-88.5,-119.5,415.0443
-88.5,-118.5,415.04443
-88.5,-117.5,415.04456
