lat,lon,mean_co2
-89.5,40.5,396.1971550841109
-89.5,41.5,396.19716927523945
-89.5,42.5,396.20401472612986
-89.5,43.5,396.1971582064547
-89.5,44.5,396.1971438463525
-89.5,45.5,396.197134347586
-89.5,46.5,396.20399704186406
-89.5,47.5,396.20399582980406
-89.5,48.5,396.2039931236155
-89.5,49.5,396.1971168555932
-89.5,50.5,396.19713154261774
-89.5,51.5,396.1971265192687
-89.5,52.5,396.1971068899087
-89.5,53.5,396.1970936819197
-89.5,54.5,396.1970891570442
-89.5,55.5,396.1970998351636
-89.5,56.5,396.2039222368317
-89.5,57.5,396.1970844698751
-89.5,58.5,396.20389841858406
-89.5,59.5,396.2038766457621
-89.5,60.5,396.1970542169699
-89.5,61.5,396.1970269228907
-89.5,62.5,396.197027526912
-89.5,63.5,396.196992432932
-89.5,64.5,396.20379459430046
-89.5,65.5,396.2037775012276
-89.5,66.5,396.196948272551
-89.5,67.5,396.196952531113
-89.5,68.5,396.2037215702897
-89.5,69.5,396.196900866872
-89.5,70.5,396.2036777243885
-89.5,71.5,396.1968903327815
-89.5,72.5,396.1851388640703
-89.5,73.5,396.1850875436504
-89.5,74.5,396.1850381045175
-89.5,75.5,396.1784959711216
-89.5,76.5,396.1849415316244
-89.5,77.5,396.1783964899295
-89.5,78.5,396.1783432539075
-89.5,79.5,396.17828910386686
-89.5,80.5,396.1847330859694
-89.5,81.5,396.1781745617127
-89.5,82.5,396.17815248565887
-89.5,83.5,396.1780954178616
-89.5,84.5,396.184523722344
-89.5,85.5,396.1844712116354
-89.5,86.5,396.17795761664576
-89.5,87.5,396.1843594267744
-89.5,88.5,396.1778299573889
-89.5,89.5,396.17777924516514
-89.5,90.5,396.177732074928
-89.5,91.5,396.18412999175257
-89.5,92.5,396.17765412354527
-89.5,93.5,396.1775795376976
-89.5,94.5,396.1775523229122
-89.5,95.5,396.1774868256541
-89.5,96.5,396.1774345101757
-89.5,97.5,396.1838040291531
-89.5,98.5,396.1837357943289
-89.5,99.5,396.17730547699017
-89.5,100.5,396.17725589407615
-89.5,101.5,396.1772099402957
-89.5,102.5,396.17714764436914
-89.5,103.5,396.1834541366012
-89.5,104.5,396.1770369750857
-89.5,105.5,396.1769842216838
-89.5,106.5,396.176943673654
-89.5,107.5,396.1768818621185
-89.5,108.5,396.176854429996
-89.5,109.5,396.18311425967113
-89.5,110.5,396.1830548622492
-89.5,111.5,396.1830010571182
-89.5,112.5,396.18294891717375
-89.5,113.5,396.1828794351924
-89.5,114.5,396.1765436193882
-89.5,115.5,396.18276216772495
-89.5,116.5,396.1764427556645
-89.5,117.5,396.1764105839035
-89.5,118.5,396.1825937925032
-89.5,119.5,396.1762978360473
