lat,lon,growth_rate
-89.5,-179.5,2.434444983474122
-89.5,-178.5,2.436357506196316
-89.5,-177.5,2.434413248217026
-89.5,-176.5,2.434369373770608
-89.5,-175.5,2.4343442383791967
-89.5,-174.5,2.4343220517091027
-89.5,-173.5,2.434319670504351
-89.5,-172.5,2.436175788201865
-89.5,-171.5,2.436139158240451
-89.5,-170.5,2.43421998648887
-89.5,-169.5,2.4360751973210317
-89.5,-168.5,2.434164277494915
-89.5,-167.5,2.4360024932203714
-89.5,-166.5,2.4359740541337374
-89.5,-165.5,2.4340936012155225
-89.5,-164.5,2.4340848380857665
-89.5,-163.5,2.435872039543142
-89.5,-162.5,2.435835916649808
-89.5,-161.5,2.434003898613696
-89.5,-160.5,2.435760435470513
-89.5,-159.5,2.435732378742159
-89.5,-158.5,2.435693274302423
-89.5,-157.5,2.4339062724672544
-89.5,-156.5,2.433865266853445
-89.5,-155.5,2.433830378514699
-89.5,-154.5,2.4355537927507958
-89.5,-153.5,2.433786961673661
-89.5,-152.5,2.433770322988892
-89.5,-151.5,2.4337428915711143
-89.5,-150.5,2.433718215271881
-89.5,-149.5,2.433687073937449
-89.5,-148.5,2.433659561697823
-89.5,-147.5,2.4353100836387966
-89.5,-146.5,2.4335996405924334
-89.5,-145.5,2.433587702191573
-89.5,-144.5,2.4335639959813875
-89.5,-143.5,2.436408854048466
-89.5,-142.5,2.4378106463267386
-89.5,-141.5,2.436348780031153
-89.5,-140.5,2.43775468516219
-89.5,-139.5,2.4363273666291434
-89.5,-138.5,2.4362867590218684
-89.5,-137.5,2.436282969594515
-89.5,-136.5,2.4376572844498128
-89.5,-135.5,2.4376355963142373
-89.5,-134.5,2.4362147993805365
-89.5,-133.5,2.4375804375557664
-89.5,-132.5,2.4361698575583546
-89.5,-131.5,2.436146606355805
-89.5,-130.5,2.436118935779291
-89.5,-129.5,2.4361219904332643
-89.5,-128.5,2.436079936093961
-89.5,-127.5,2.4360692126839467
-89.5,-126.5,2.436062530172933
