lat,lon,mean_co2
-89.5,-62.5,403.5889678590824
-89.5,-61.5,403.5849321353267
-89.5,-60.5,403.588971937588
-89.5,-59.5,403.58492154801047
-89.5,-58.5,403.58491329798863
-89.5,-57.5,403.5849190866646
-89.5,-56.5,403.5849097575265
-89.5,-55.5,403.58491742282337
-89.5,-54.5,403.588990066343
-89.5,-53.5,403.5889928116409
-89.5,-52.5,403.5849070135589
-89.5,-51.5,403.5848998131585
-89.5,-50.5,403.5849015827928
-89.5,-49.5,403.58489177992544
-89.5,-48.5,403.58490353552855
-89.5,-47.5,403.5890153524685
-89.5,-46.5,403.5848998651012
-89.5,-45.5,403.5890220214997
-89.5,-44.5,403.5890295209828
-89.5,-43.5,403.589033785355
-89.5,-42.5,403.5890395975412
-89.5,-41.5,403.584891770066
-89.5,-40.5,403.5890508744108
-89.5,-39.5,403.58905715788273
-89.5,-38.5,403.5890632153327
-89.5,-37.5,403.5848868235459
-89.5,-36.5,403.584890285357
-89.5,-35.5,403.5849025542202
-89.5,-34.5,403.5890872033494
-89.5,-33.5,403.5849042766996
-89.5,-32.5,403.5849027385905
-89.5,-31.5,403.584905161909
-89.5,-30.5,403.5848969630764
-89.5,-29.5,403.5848988268699
-89.5,-28.5,403.5849127338636
-89.5,-27.5,403.5849140341909
-89.5,-26.5,403.5849102439898
-89.5,-25.5,403.5891612221823
-89.5,-24.5,403.5849151299877
-89.5,-23.5,403.5849150444391
-89.5,-22.5,403.5849243977021
-89.5,-21.5,403.589199091438
-89.5,-20.5,403.5892101706917
-89.5,-19.5,403.5892157146701
-89.5,-18.5,403.58923184408746
-89.5,-17.5,403.5849504257877
-89.5,-16.5,403.58495291402113
-89.5,-15.5,403.5849474145183
-89.5,-14.5,403.5892709762797
-89.5,-13.5,403.5849707768184
-89.5,-12.5,403.5849703308971
-89.5,-11.5,403.5893047051888
-89.5,-10.5,403.5849877283926
-89.5,-9.5,403.5849864822575
-89.5,-8.5,403.58933787813567
-89.5,-7.5,403.5893475797526
-89.5,-6.5,403.5850054090891
-89.5,-5.5,403.5850090633094
-89.5,-4.5,403.5893834325737
-89.5,-3.5,403.5893952446119
-89.5,-2.5,403.58502937791206
-89.5,-1.5,403.5850346957162
-89.5,-0.5,403.5850526626148
-89.5,0.5,403.5629897258644
-89.5,1.5,403.5585164327063
-89.5,2.5,403.55851889350265
-89.5,3.5,403.5630117476772
-89.5,4.5,403.5630200721268
-89.5,5.5,403.55852394388734
-89.5,6.5,403.55852436723865
-89.5,7.5,403.5585287803869
-89.5,8.5,403.5585261356397
-89.5,9.5,403.5585311775511
-89.5,10.5,403.5630700620467
-89.5,11.5,403.55852689981685
-89.5,12.5,403.55853795005686
-89.5,13.5,403.558530426933
-89.5,14.5,403.5585423838039
-89.5,15.5,403.558534463465
-89.5,16.5,403.56311601169455
-89.5,17.5,403.5585395418673
-89.5,18.5,403.55854592559695
-89.5,19.5,403.5585495594535
-89.5,20.5,403.5585511584378
-89.5,21.5,403.5585650513759
-89.5,22.5,403.5631671129077
-89.5,23.5,403.5631766161588
-89.5,24.5,403.5585656171709
-89.5,25.5,403.5585810926301
-89.5,26.5,403.5585876759951
-89.5,27.5,403.5585903712145
-89.5,28.5,403.55859295888354
-89.5,29.5,403.5586012417573
-89.5,30.5,403.5585992006637
-89.5,31.5,403.5632606113649
-89.5,32.5,403.5586048403435
-89.5,33.5,403.5632769552712
-89.5,34.5,403.5632843571548
-89.5,35.5,403.5632957796578
-89.5,36.5,403.5586287955414
-89.5,37.5,403.5586452841983
-89.5,38.5,403.5586473716618
-89.5,39.5,403.558656134916
-89.5,40.5,403.55865936222494
-89.5,41.5,403.5586607150989
-89.5,42.5,403.5633613528552
-89.5,43.5,403.5586782019146
-89.5,44.5,403.55869261932855
-89.5,45.5,403.5587013999264
-89.5,46.5,403.5633990330139
-89.5,47.5,403.56340919339135
-89.5,48.5,403.56341850057566
-89.5,49.5,403.5587343037271
-89.5,50.5,403.558729402796
-89.5,51.5,403.5587393893788
-89.5,52.5,403.55875138497225
-89.5,53.5,403.5587609882424
-89.5,54.5,403.5587674854335
-89.5,55.5,403.5587694731128
-89.5,56.5,403.5634981878246
